Match;Play fact;Nature;Player;Half;Time
1;1;Offside Goal;Enner Valencia;1;3
1;2;Yellow Card;Saad Al Sheeb;1;15
1;3;Goal;Enner Valencia;1;16
1;4;Yellow Card;Almoez Ali;1;22
1;5;Yellow Card;Moisés Caicedo;1;29
1;6;Goal;Enner Valencia;1;31
1;6;Assist;Ángelo Preciado;1;31
1;7;Yellow Card;Karim Boudiaf;1;36
1;8;Yellow Card;Jhegson Méndez;2;56
1;9;Substitute;Romario Ibarra;2;68
1;9;Entrance; Jeremy Sarmiento;2;68
1;10;Substitute;Almoez Ali;2;72
1;10;Entrance;Mohammed Muntari;2;72
1;11;Substitute;Hassan Al-Haydos;2;72
1;11;Entrance;Mohammed Waad;2;72
1;12;Substitute Injury;Enner Valencia;2;77
1;12;Entrance;José Cifuentes;2;77
1;13;Yellow Card;Akram Afif;2;78
1;14;Substitute;Michael Estrada;2;90
1;14;Entrance;Kevin Jauch;2;90
1;15;Substitute;Moisés Caicedo;2;90
1;15;Entrance;Alan Franco;2;90
2;1;Substitute Injury;Alireza Beiranvand;1;20
2;1;Entrance;Hossein Hosseini;1;20
2;2;Yellow Card;Alireza Jahanbakhsh;1;25
2;3;Goal;Jude Bellingham;1;35
2;3;Assist;Luke Shaw;1;35
2;4;Goal;Bukayo Saka;1;43
2;4;Assist;Harry Maguire;1;43
2;5;Goal;Raheem Sterling;1;46
2;5;Assist;Harry Kane;1;46
2;6;Substitute;Ali Karimi;2;46
2;6;Entrance;Saeid Ezatolahi;2;46
2;7;Substitute;Alireza Jahanbakhsh;2;46
2;7;Entrance;Ali Gholizadeh;2;46
2;8;Substitute;Roozbeh Cheshmi;2;46
2;8;Entrance;Hossein Kanaanizadegan;2;46
2;9;Yellow Card;Morteza Pouraliganji;2;48
2;10;Goal;Bukayo Saka;2;62
2;10;Assist;Raheem Sterling;2;62
2;11;Substitute;Milad Mohammadi;2;63
2;11;Entrance;Mehdi Torabi;2;63
2;12;Goal;Mehdi Taremi;2;65
2;12;Assist;Ali Gholizadeh;2;65
2;13;Substitute Injury;Harry Maguire;2;70
2;13;Entrance;Eric Dier;2;70
2;14;Substitute;Bukayo Saka;2;70
2;14;Entrance;Marcus Rashford;2;70
2;15;Substitute;Raheem Sterling;2;70
2;15;Entrance;Jack Grealish;2;70
2;16;Substitute;Mason Mount;2;70
2;16;Entrance;Phill Foden;2;70
2;17;Goal;Marcus Rashford;2;71
2;17;Assist;Harry Kane;2;71
2;18;Substitute;Harry Kane;2;75
2;18;Entrance;Callum Wilson;2;75
2;19;Substitute;Ahmad Nourollahi;2;77
2;19;Entrance;Sardar Azmoun;2;77
2;20;Goal;Jack Grealish;2;90
2;20;Assist;Callum Wilson;2;90
2;21;Goal;Mehdi Taremi;2;103
3;1;Yellow Card;Matthijs de Ligt;2;56
3;2;Substitute;Vincent Janssen;2;62
3;2;Entrance;Memphis Depay;2;62
3;3;Substitute Injury;Abdou Diallo;2;62
3;3;Entrance;Ismail Jakobs;2;62
3;4;Substitute;Boulaye Dia;2;69
3;4;Entrance;Bamba Dieng;2;69
3;5;Substitute Injury;Cheikhou Kouyaté;2;73
3;5;Entrance;Pape Gueye;2;73
3;6;Substitute;Krepin Diatta;2;74
3;6;Entrance;Nicolas Jackson;2;74
