Country;Player;Pos;Age;Club;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls--90min;Ast--90min;G+A--90min;G-PK--90min;G+A-PK--90min;xG;npxG;xAG;npxG+xAG;xG--90min;xAG--90min;xG+xAG--90min;npxG--90min;npxG+xAG--90min
France;Kylian Mbappé;FW;23;1.fr Paris S-G;7;6;598;6.6;8;2;10;6;2;2;0;0;1.20;0.30;1.51;0.90;1.20;5.2;3.6;1.3;5.0;0.82;0.21;1.04;0.58;0.79
Argentina;Lionel Messi;FW;34;1.fr Paris S-G;7;7;690;7.7;7;3;10;3;4;5;1;0;0.91;0.39;1.30;0.39;0.78;6.6;2.7;2.5;5.2;0.94;0.35;1.30;0.38;0.74
England;Harry Kane;FW;28;1.eng Tottenham;5;5;402;4.5;2;3;5;1;1;2;0;0;0.45;0.67;1.12;0.22;0.90;2.7;1.1;1.5;2.6;0.60;0.34;0.94;0.25;0.59
Portugal;Bruno Fernandes;FWMF;27;1.eng Manchester Utd;4;4;356;4.0;2;3;5;1;1;1;1;0;0.51;0.76;1.26;0.25;1.01;1.1;0.3;1.7;2.0;0.28;0.42;0.71;0.08;0.51
Argentina;Julián Álvarez;FW;22;1.eng Manchester City;7;5;464;5.2;4;0;4;4;0;0;0;0;0.78;0.00;0.78;0.78;0.78;2.6;2.6;0.1;2.7;0.51;0.02;0.53;0.51;0.53
France;Olivier Giroud;FW;35;1.it Milan;6;6;419;4.7;4;0;4;4;0;0;1;0;0.86;0.00;0.86;0.86;0.86;3.4;3.4;0.1;3.5;0.72;0.03;0.76;0.72;0.76
Portugal;Gonçalo Ramos;FWMF;20;1.pt Benfica;4;2;152;1.7;3;1;4;3;0;0;0;0;1.78;0.59;2.37;1.78;2.37;1.6;1.6;0.4;1.9;0.93;0.21;1.13;0.93;1.13
Spain;Álvaro Morata;FW;29;1.es Atlético Madrid;4;1;185;2.1;3;1;4;3;0;0;0;0;1.46;0.49;1.95;1.46;1.95;1.4;1.4;0.2;1.6;0.79;0.14;0.93;0.79;0.93
Croatia;Ivan Perišić;FWDF;33;1.eng Tottenham;7;7;669;7.4;1;3;4;1;0;0;0;0;0.13;0.40;0.54;0.13;0.54;0.9;0.9;0.9;1.8;0.13;0.12;0.25;0.13;0.25
Brazil;Richarlison;FW;25;1.eng Tottenham;4;4;323;3.6;3;0;3;3;0;0;0;0;0.84;0.00;0.84;0.84;0.84;2.1;2.1;1.0;3.1;0.59;0.27;0.86;0.59;0.86
Ecuador;Enner Valencia;FWMF;32;1.tr Fenerbahçe;3;3;255;2.8;3;0;3;2;1;1;0;0;1.06;0.00;1.06;0.71;0.71;2.3;1.5;0.3;1.8;0.80;0.10;0.90;0.52;0.62
England;Marcus Rashford;FW;24;1.eng Manchester Utd;5;1;140;1.6;3;0;3;3;0;0;0;0;1.93;0.00;1.93;1.93;1.93;1.6;1.6;0.0;1.6;1.03;0.00;1.03;1.03;1.03
England;Bukayo Saka;FW;20;1.eng Arsenal;4;4;288;3.2;3;0;3;3;0;0;0;0;0.94;0.00;0.94;0.94;0.94;0.6;0.6;0.7;1.3;0.20;0.20;0.40;0.20;0.40
Netherlands;Cody Gakpo;FWMF;23;1.nl PSV Eindhoven;5;5;450;5.0;3;0;3;3;0;0;0;0;0.60;0.00;0.60;0.60;0.60;0.3;0.3;0.6;0.9;0.06;0.12;0.18;0.06;0.18
Cameroon;Vincent Aboubakar;FW;30;1.sa Al-Nassr;3;1;142;1.6;2;1;3;2;0;0;2;1;1.27;0.63;1.90;1.27;1.90;0.6;0.6;0.6;1.2;0.37;0.39;0.76;0.37;0.76
Germany;Niclas Füllkrug;FW;29;1.de Werder Bremen;3;0;69;0.8;2;1;3;2;0;0;0;0;2.61;1.30;3.91;2.61;3.91;2.2;2.2;0.6;2.8;2.86;0.76;3.62;2.86;3.62
Iran;Mehdi Taremi;FW;29;1.pt Porto;3;3;270;3.0;2;1;3;1;1;1;0;0;0.67;0.33;1.00;0.33;0.67;1.3;0.6;0.7;1.2;0.45;0.22;0.67;0.18;0.40
Poland;Robert Lewandowski;FW;33;1.es Barcelona;4;4;360;4.0;2;1;3;1;1;2;0;0;0.50;0.25;0.75;0.25;0.50;2.9;1.4;0.4;1.8;0.73;0.10;0.83;0.34;0.44
Brazil;Vinicius Júnior;FW;21;1.es Real Madrid;4;4;299;3.3;1;2;3;1;0;0;0;0;0.30;0.60;0.90;0.30;0.90;1.0;1.0;0.7;1.7;0.30;0.20;0.50;0.30;0.50
Croatia;Mislav Oršić;FW;29;1.hr Dinamo Zagreb;6;1;162;1.8;1;2;3;1;0;0;0;0;0.56;1.11;1.67;0.56;1.67;0.4;0.4;1.1;1.4;0.23;0.68;0.90;0.23;0.90
England;Phil Foden;FWMF;22;1.eng Manchester City;4;3;258;2.9;1;2;3;1;0;0;0;0;0.35;0.70;1.05;0.35;1.05;1.1;1.1;0.6;1.6;0.38;0.20;0.57;0.38;0.57
France;Theo Hernández;DF;24;1.it Milan;6;5;508;5.6;1;2;3;1;0;0;1;0;0.18;0.35;0.53;0.18;0.53;0.4;0.4;1.2;1.6;0.07;0.22;0.29;0.07;0.29
Netherlands;Davy Klaassen;MFFW;29;1.nl Ajax;4;3;190;2.1;1;2;3;1;0;0;0;0;0.47;0.95;1.42;0.47;1.42;0.2;0.2;0.3;0.5;0.11;0.14;0.25;0.11;0.25
Netherlands;Denzel Dumfries;DF;26;1.it Inter;5;5;479;5.3;1;2;3;1;0;0;2;1;0.19;0.38;0.56;0.19;0.56;0.4;0.4;0.3;0.7;0.08;0.06;0.14;0.08;0.14
Portugal;João Félix;FW;22;1.es Atlético Madrid;4;4;331;3.7;1;2;3;1;0;0;1;0;0.27;0.54;0.82;0.27;0.82;0.9;0.9;0.4;1.2;0.24;0.10;0.34;0.24;0.34
Portugal;Raphaël Guerreiro;DF;28;1.de Dortmund;4;3;279;3.1;1;2;3;1;0;0;0;0;0.32;0.65;0.97;0.32;0.97;0.4;0.4;0.6;1.0;0.12;0.19;0.31;0.12;0.31
USA;Christian Pulisic;FWMF;23;1.eng Chelsea;4;4;315;3.5;1;2;3;1;0;0;0;0;0.29;0.57;0.86;0.29;0.86;1.1;1.1;0.9;2.0;0.30;0.26;0.56;0.30;0.56
France;Antoine Griezmann;MF;31;1.es Atlético Madrid;7;6;537;6.0;0;3;3;0;0;0;1;0;0.00;0.50;0.50;0.00;0.50;0.7;0.7;3.1;3.8;0.11;0.52;0.63;0.11;0.63
Brazil;Neymar;MF;30;1.fr Paris S-G;3;3;279;3.1;2;0;2;1;1;1;0;0;0.65;0.00;0.65;0.32;0.32;2.7;1.9;0.8;2.7;0.98;0.29;1.27;0.70;0.98
Croatia;Andrej Kramarić;FWMF;30;1.de Hoffenheim;7;7;474;5.3;2;0;2;2;0;0;0;0;0.38;0.00;0.38;0.38;0.38;1.6;1.6;0.2;1.9;0.31;0.04;0.36;0.31;0.36
Germany;Kai Havertz;FW;23;1.eng Chelsea;2;1;102;1.1;2;0;2;2;0;0;0;0;1.76;0.00;1.76;1.76;1.76;1.4;1.4;0.2;1.6;1.19;0.17;1.36;1.19;1.36
Ghana;Kudus Mohammed;FWMF;21;1.nl Ajax;3;3;247;2.7;2;0;2;2;0;0;1;0;0.73;0.00;0.73;0.73;0.73;0.8;0.8;0.0;0.8;0.30;0.00;0.30;0.30;0.30
Japan;Ritsu Doan;FW;23;1.de Freiburg;4;2;217;2.4;2;0;2;2;0;0;0;0;0.83;0.00;0.83;0.83;0.83;0.5;0.5;0.2;0.7;0.21;0.07;0.28;0.21;0.28
Korea Republic;Cho Guesung;FW;24;1.kr Jeonbuk;4;3;275;3.1;2;0;2;2;0;0;1;0;0.65;0.00;0.65;0.65;0.65;1.1;1.1;0.0;1.1;0.35;0.01;0.36;0.35;0.36
Morocco;Youssef En-Nesyri;FW;25;1.es Sevilla;7;7;542;6.0;2;0;2;2;0;0;0;0;0.33;0.00;0.33;0.33;0.33;1.2;1.2;0.0;1.3;0.21;0.01;0.21;0.21;0.21
Netherlands;Wout Weghorst;FW;29;1.tr Beşiktaş;4;0;64;0.7;2;0;2;2;0;0;1;0;2.81;0.00;2.81;2.81;2.81;0.2;0.2;0.0;0.2;0.52;0.08;0.60;0.52;0.60
Portugal;Rafael Leão;FW;23;1.it Milan;5;0;88;1.0;2;0;2;2;0;0;0;0;2.05;0.00;2.05;2.05;2.05;0.4;0.4;0.2;0.6;0.42;0.16;0.57;0.42;0.57
Saudi Arabia;Salem Al-Dawsari;MF;30;1.sa Al-Hilal;3;3;270;3.0;2;0;2;2;0;1;1;0;0.67;0.00;0.67;0.67;0.67;1.8;1.0;0.2;1.2;0.59;0.08;0.67;0.32;0.40
Serbia;Aleksandar Mitrović;FW;27;1.eng Fulham;3;3;262;2.9;2;0;2;2;0;0;1;0;0.69;0.00;0.69;0.69;0.69;1.6;1.6;0.7;2.4;0.57;0.24;0.81;0.57;0.81
Spain;Ferrán Torres;FW;22;1.es Barcelona;4;3;217;2.4;2;0;2;1;1;1;0;0;0.83;0.00;0.83;0.41;0.41;1.0;0.2;0.2;0.4;0.42;0.07;0.50;0.10;0.17
Switzerland;Breel Embolo;FW;25;1.fr Monaco;4;4;323;3.6;2;0;2;2;0;0;0;0;0.56;0.00;0.56;0.56;0.56;2.3;2.3;0.1;2.4;0.64;0.03;0.66;0.64;0.66
Uruguay;Giorgian De Arrascaeta;MF;28;1.br Flamengo;2;1;108;1.2;2;0;2;2;0;0;0;0;1.67;0.00;1.67;1.67;1.67;1.2;1.2;0.5;1.7;1.01;0.45;1.45;1.01;1.45
Argentina;Ángel Di María;MFFW;34;1.it Juventus;5;4;288;3.2;1;1;2;1;0;0;0;0;0.31;0.31;0.62;0.31;0.62;0.6;0.6;0.6;1.3;0.21;0.20;0.41;0.21;0.41
Argentina;Alexis Mac Allister;MF;23;1.eng Brighton;6;6;550;6.1;1;1;2;1;0;0;0;0;0.16;0.16;0.33;0.16;0.33;0.7;0.7;0.9;1.6;0.12;0.15;0.27;0.12;0.27
Argentina;Enzo Fernández;MF;21;1.pt Benfica;7;5;564;6.3;1;1;2;1;0;0;1;0;0.16;0.16;0.32;0.16;0.32;0.3;0.3;0.9;1.2;0.05;0.16;0.21;0.05;0.21
Argentina;Nahuel Molina;DF;24;1.es Atlético Madrid;7;6;567;6.3;1;1;2;1;0;0;0;0;0.16;0.16;0.32;0.16;0.32;0.5;0.5;0.3;0.8;0.07;0.05;0.12;0.07;0.12
Australia;Craig Goodwin;MF;30;1.au Adelaide;4;3;234;2.6;1;1;2;1;0;0;0;0;0.38;0.38;0.77;0.38;0.77;0.3;0.3;0.6;0.9;0.11;0.25;0.36;0.11;0.36
Australia;Mathew Leckie;MFFW;31;1.au Melb City;4;4;333;3.7;1;1;2;1;0;0;0;0;0.27;0.27;0.54;0.27;0.54;0.1;0.1;0.3;0.5;0.04;0.08;0.12;0.04;0.12
Brazil;Lucas Paquetá;MF;24;1.eng West Ham;4;4;314;3.5;1;1;2;1;0;0;0;0;0.29;0.29;0.57;0.29;0.57;0.8;0.8;1.5;2.3;0.24;0.43;0.67;0.24;0.67
Cameroon;Jean-Charles Castelletto;DF;27;1.fr Nantes;2;2;180;2.0;1;1;2;1;0;0;0;0;0.50;0.50;1.00;0.50;1.00;0.9;0.9;0.3;1.2;0.47;0.15;0.62;0.47;0.62
Costa Rica;Yeltsin Tejeda;MF;30;1.cr Club Sport Herediano;3;3;269;3.0;1;1;2;1;0;0;0;0;0.33;0.33;0.67;0.33;0.67;0.4;0.4;0.1;0.5;0.14;0.02;0.17;0.14;0.17
Croatia;Marko Livaja;FW;28;1.hr Hajduk Split;6;3;241;2.7;1;1;2;1;0;0;0;0;0.37;0.37;0.75;0.37;0.75;0.8;0.8;0.1;0.9;0.31;0.03;0.34;0.31;0.34
England;Raheem Sterling;FW;27;1.eng Chelsea;3;2;149;1.7;1;1;2;1;0;0;0;0;0.60;0.60;1.21;0.60;1.21;0.4;0.4;0.1;0.5;0.22;0.09;0.31;0.22;0.31
England;Jude Bellingham;MF;18;1.de Dortmund;5;5;414;4.6;1;1;2;1;0;0;0;0;0.22;0.22;0.43;0.22;0.43;0.6;0.6;0.3;0.9;0.12;0.07;0.19;0.12;0.19
France;Adrien Rabiot;MF;27;1.it Juventus;6;5;483;5.4;1;1;2;1;0;0;1;0;0.19;0.19;0.37;0.19;0.37;1.0;1.0;0.9;1.9;0.19;0.16;0.36;0.19;0.36
Germany;Serge Gnabry;FWMF;26;1.de Bayern Munich;3;3;263;2.9;1;1;2;1;0;0;0;0;0.34;0.34;0.68;0.34;0.68;1.1;1.1;1.5;2.6;0.37;0.51;0.88;0.37;0.88
Morocco;Hakim Ziyech;FW;29;1.eng Chelsea;7;7;635;7.1;1;1;2;1;0;0;0;0;0.14;0.14;0.28;0.14;0.28;0.4;0.4;0.7;1.1;0.06;0.10;0.16;0.06;0.16
Netherlands;Frenkie de Jong;MF;25;1.es Barcelona;5;5;475;5.3;1;1;2;1;0;0;1;0;0.19;0.19;0.38;0.19;0.38;0.9;0.9;0.2;1.1;0.18;0.04;0.22;0.18;0.22
Netherlands;Daley Blind;DF;32;1.nl Ajax;5;5;423;4.7;1;1;2;1;0;0;0;0;0.21;0.21;0.43;0.21;0.43;0.4;0.4;0.5;0.8;0.08;0.10;0.18;0.08;0.18
Spain;Dani Olmo;FW;24;1.de RB Leipzig;4;4;367;4.1;1;1;2;1;0;0;0;0;0.25;0.25;0.49;0.25;0.49;1.4;1.4;0.5;1.9;0.34;0.11;0.46;0.34;0.46
