Phase;Stage;Match;Team;Continent;OrderTeam;Date;Time;xG;Score;Goals MT;Goals 2MT;Goals XtraTime;Additionnal time HT;Additionnal time FT;Possession;PassesCompleted;PassesTotal;Pass accuracy;Shots;Shots OT;Ycards;Rcards
Group;1;1;Qatar;Asia;H;20/11/2022;17:00;0.3;0;0;0;0;5;5;47%;377;469;80.38%;5;0;4;0
Group;1;1;Ecuador;America;A;20/11/2022;17:00;1.2;2;2;0;0;5;5;53%;430;522;82.38%;5;2;2;0
Group;1;2;England;Europe;H;21/11/2022;14:00;2.1;6;3;3;0;14;10;78%;740;838;88.31%;13;7;0;0
Group;1;2;Iran;Asia;A;21/11/2022;14:00;1.4;2;0;2;0;14;10;22%;162;248;65.32%;7;2;2;0
Group;1;3;Senegal;Africa;H;21/11/2022;17:00;0.9;0;0;0;0;2;8;46%;333;427;77.99%;15;4;2;0
Group;1;3;Netherlands;Europe;A;21/11/2022;17:00;0.7;2;0;2;0;2;8;54%;387;494;78.34%;10;3;1;0
Group;1;4;USA;America;H;21/11/2022;20:00;0.8;1;1;0;0;4;9;58%;524;624;83.97%;6;1;4;0
Group;1;4;Wales;Europe;A;21/11/2022;20:00;1.5;1;0;1;0;4;9;42%;335;446;75.11%;6;2;2;0
Group;1;5;Argentina;America;H;22/11/2022;11:00;2.2;1;1;0;0;5;8;69%;546;659;82.85%;14;5;0;0
Group;1;5;Saudi Arabia;Asia;A;22/11/2022;11:00;0.1;2;0;2;0;5;8;31%;195;294;66.33%;3;2;6;0
Group;1;6;Denmark;Europe;H;22/11/2022;14:00;1.4;0;0;0;0;4;5;61%;533;649;82.13%;11;5;2;0
Group;1;6;Tunisia;Africa;A;22/11/2022;14:00;0.9;0;0;0;0;4;5;39%;308;419;73.51%;13;1;1;0
Group;1;7;Mexico;America;H;22/11/2022;17:00;0.7;0;0;0;0;2;7;60%;436;547;79.71%;11;4;2;0
Group;1;7;Poland;Europe;A;22/11/2022;17:00;0.9;0;0;0;0;2;7;40%;255;363;70.25%;5;1;1;0
Group;1;8;France;Europe;H;22/11/2022;20:00;4.0;4;2;2;0;6;7;62%;678;768;88.28%;23;6;0;0
Group;1;8;Australia;Oceania;A;22/11/2022;20:00;0.5;1;1;0;0;6;7;38%;391;473;82.66%;4;1;3;0
Group;1;9;Morocco;Africa;H;23/11/2022;11:00;0.4;0;0;0;0;2;6;36%;298;384;77.6%;8;2;1;0
Group;1;9;Croatia;Europe;A;23/11/2022;11:00;0.5;0;0;0;0;2;6;64%;581;693;83.84%;5;1;0;0
Group;1;10;Germany;Europe;H;23/11/2022;14:00;3.1;1;1;0;0;4;7;74%;727;836;86.96%;25;8;0;0
Group;1;10;Japan;Asia;A;23/11/2022;14:00;1.5;2;0;2;0;4;7;26%;204;298;68.46%;12;0;0;0
Group;1;11;Spain;Europe;H;23/11/2022;17:00;3.5;7;3;4;0;5;8;81%;1009;1093;92.31%;16;7;0;0
Group;1;11;Costa Rica;America;A;23/11/2022;17:00;0.0;0;0;0;0;5;8;19%;178;256;69.53%;0;0;2;0
Group;1;12;Belgium;Europe;H;23/11/2022;20:00;0.8;1;1;0;0;5;5;53%;451;546;82.6%;9;3;3;0
Group;1;12;Canada;America;A;23/11/2022;20:00;2.4;0;0;0;0;5;5;47%;392;485;80.82%;21;2;2;0
Group;1;13;Switzerland;Europe;H;24/11/2022;11:00;1.4;1;0;1;0;2;6;51%;455;558;81.54%;7;3;2;0
Group;1;13;Cameroon;Africa;A;24/11/2022;11:00;0.7;0;0;0;0;2;6;49%;442;537;82.31%;8;5;1;0
Group;1;14;Uruguay;America;H;24/11/2022;14:00;0.6;0;0;0;0;1;7;56%;475;585;81.2%;10;1;1;0
Group;1;14;Korea Republic;Asia;A;24/11/2022;14:00;0.6;0;0;0;0;1;7;44%;350;467;74.95%;7;0;2;0
Group;1;15;Portugal;Europe;H;24/11/2022;17:00;2.0;3;0;3;0;2;9;61%;573;660;86.82%;10;4;2;0
Group;1;15;Ghana;Africa;A;24/11/2022;17:00;0.9;2;0;2;0;2;9;39%;328;413;79.42%;9;3;4;0
Group;1;16;Brazil;America;H;24/11/2022;20:00;2.4;2;0;2;0;1;7;59%;534;628;85.03%;22;8;0;0
Group;1;16;Serbia;Europe;A;24/11/2022;20:00;0.2;0;0;0;0;1;7;41%;344;439;78.36%;5;0;3;0
Group;2;17;Wales;Europe;H;25/11/2022;11:00;0.9;0;0;0;0;4;9;62%;437;568;76.94%;10;3;1;1
Group;2;17;Iran;Asia;A;25/11/2022;11:00;1.4;2;0;2;0;4;9;38%;222;350;63.43%;21;6;2;0
Group;2;18;Qatar;Asia;H;25/11/2022;14:00;1.0;1;0;1;0;7;6;45%;333;417;79.86%;10;3;3;0
Group;2;18;Senegal;Africa;A;25/11/2022;14:00;0.8;3;1;2;0;7;6;55%;459;548;83.76%;13;5;3;0
Group;2;19;Netherlands;Europe;H;25/11/2022;17:00;0.1;1;1;0;0;3;6;54%;442;542;81.55%;2;1;0;0
Group;2;19;Ecuador;America;A;25/11/2022;17:00;1.7;1;0;1;0;3;6;46%;358;469;76.33%;15;4;1;0
Group;2;20;England;Europe;H;25/11/2022;20:00;0.8;0;0;0;0;1;4;55%;495;577;85.79%;8;3;0;0
Group;2;20;USA;America;A;25/11/2022;20:00;0.6;0;0;0;0;1;4;45%;378;463;81.64%;10;1;0;0
Group;2;21;Tunisia;Africa;H;26/11/2022;11:00;0.9;0;0;0;0;5;6;59%;418;565;73.98%;13;4;3;0
